entry_time,direction,original_outcome,original_pnl,swapped_outcome,swapped_pnl,pnl_difference
2025-08-20 00:00:00,SHORT,TAKE_PROFIT,0.9954,TAKE_PROFIT,0.9954,0.0
2025-08-20 01:00:00,SHORT,TAKE_PROFIT,0.981,TAKE_PROFIT,0.981,0.0
2025-08-20 02:00:00,SHORT,TAKE_PROFIT,1.016,TAKE_PROFIT,1.016,-0.0
2025-08-20 03:00:00,SHORT,TAKE_PROFIT,1.0103,TAKE_PROFIT,1.0103,-0.0
2025-08-20 04:00:00,SHORT,TAKE_PROFIT,0.9754,TAKE_PROFIT,0.9754,0.0
2025-08-20 05:00:00,SHORT,TAKE_PROFIT,0.9331,TAKE_PROFIT,0.9331,-0.0
2025-08-20 06:00:00,SHORT,TAKE_PROFIT,0.901,TAKE_PROFIT,0.901,-0.0
2025-08-20 07:00:00,SHORT,TAKE_PROFIT,0.866,TAKE_PROFIT,0.866,0.0
2025-08-20 08:00:00,SHORT,TAKE_PROFIT,0.8542,TAKE_PROFIT,0.8542,0.0
2025-08-20 09:00:00,SHORT,TAKE_PROFIT,0.8665,TAKE_PROFIT,0.8665,-0.0
2025-08-20 10:00:00,SHORT,TAKE_PROFIT,0.8534,TAKE_PROFIT,0.8534,0.0
2025-08-21 15:00:00,SHORT,TAKE_PROFIT,0.9837,TAKE_PROFIT,0.9837,0.0
2025-08-21 16:00:00,SHORT,TAKE_PROFIT,1.0164,TAKE_PROFIT,1.0164,-0.0
2025-08-21 17:00:00,SHORT,TAKE_PROFIT,1.0278,TAKE_PROFIT,1.0278,0.0
2025-08-21 18:00:00,SHORT,TAKE_PROFIT,1.0037,TAKE_PROFIT,1.0037,-0.0
2025-08-21 19:00:00,SHORT,TAKE_PROFIT,0.9882,TAKE_PROFIT,0.9882,0.0
2025-08-21 20:00:00,SHORT,TAKE_PROFIT,1.0129,TAKE_PROFIT,1.0129,0.0
2025-08-21 21:00:00,SHORT,TAKE_PROFIT,1.0367,TAKE_PROFIT,1.0367,0.0
2025-08-21 22:00:00,SHORT,TAKE_PROFIT,1.0395,TAKE_PROFIT,1.0395,-0.0
2025-08-21 23:00:00,SHORT,TAKE_PROFIT,1.0027,TAKE_PROFIT,1.0027,-0.0
2025-08-22 00:00:00,SHORT,TAKE_PROFIT,0.9614,TAKE_PROFIT,0.9614,-0.0
2025-08-22 01:00:00,SHORT,TAKE_PROFIT,0.9357,TAKE_PROFIT,0.9357,0.0
2025-08-22 02:00:00,SHORT,TAKE_PROFIT,0.9401,TAKE_PROFIT,0.9401,0.0
2025-08-22 03:00:00,SHORT,TAKE_PROFIT,0.9625,TAKE_PROFIT,0.9625,-0.0
2025-08-22 04:00:00,SHORT,TAKE_PROFIT,0.9643,TAKE_PROFIT,0.9643,0.0
2025-08-22 05:00:00,SHORT,TAKE_PROFIT,0.9634,TAKE_PROFIT,0.9634,-0.0
2025-08-22 06:00:00,SHORT,TAKE_PROFIT,0.9439,TAKE_PROFIT,0.9439,0.0
