trade_idx,entry_time,direction,entry_price,stop_loss,take_profit,original_outcome,original_message,swapped_outcome,swapped_message,swapping_beneficial
1,2025-08-20 00:00:00,SHORT,112799.7619,111676.9198,114035.4602,TIE,SL and TP hit at same time,STOP_LOSS,Stop Loss was hit first - LOSS,NEUTRAL
2,2025-08-20 01:00:00,SHORT,113140.4015,112030.4877,114363.5123,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
3,2025-08-20 02:00:00,SHORT,112939.1722,111791.7657,114199.5743,TIE,SL and TP hit at same time,STOP_LOSS,Stop Loss was hit first - LOSS,NEUTRAL
4,2025-08-20 03:00:00,SHORT,113381.8807,112236.4303,114640.7697,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
5,2025-08-20 04:00:00,SHORT,113465.169,112358.3953,114685.4647,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
6,2025-08-20 05:00:00,SHORT,113576.2735,112516.5435,114749.6365,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
7,2025-08-20 06:00:00,SHORT,113657.6228,112633.594,114795.366,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
8,2025-08-20 07:00:00,SHORT,113602.0306,112618.233,114699.487,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
9,2025-08-20 08:00:00,SHORT,113435.154,112466.1906,114517.6094,TIE,SL and TP hit at same time,STOP_LOSS,Stop Loss was hit first - LOSS,NEUTRAL
10,2025-08-20 09:00:00,SHORT,113943.2599,112955.9827,115044.5373,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
11,2025-08-20 10:00:00,SHORT,113625.7187,112655.9868,114709.1332,TIE,SL and TP hit at same time,STOP_LOSS,Stop Loss was hit first - LOSS,NEUTRAL
12,2025-08-21 15:00:00,SHORT,113204.2596,112090.6366,114431.1434,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
13,2025-08-21 16:00:00,SHORT,112706.0588,111560.5333,113964.3467,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
14,2025-08-21 17:00:00,SHORT,112298.7525,111144.5124,113565.3476,TIE,SL and TP hit at same time,STOP_LOSS,Stop Loss was hit first - LOSS,NEUTRAL
15,2025-08-21 18:00:00,SHORT,112333.4552,111205.9836,113573.3164,TIE,SL and TP hit at same time,STOP_LOSS,Stop Loss was hit first - LOSS,NEUTRAL
16,2025-08-21 19:00:00,SHORT,112514.8244,111402.9098,113739.3102,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
17,2025-08-21 20:00:00,SHORT,112104.2099,110968.6698,113351.9102,TIE,SL and TP hit at same time,STOP_LOSS,Stop Loss was hit first - LOSS,NEUTRAL
18,2025-08-21 21:00:00,SHORT,112355.9539,111191.107,113633.213,TIE,SL and TP hit at same time,STOP_LOSS,Stop Loss was hit first - LOSS,NEUTRAL
19,2025-08-21 22:00:00,SHORT,112534.3147,111364.5593,113816.6607,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
20,2025-08-21 23:00:00,SHORT,112414.7345,111287.5829,113654.3571,TIE,SL and TP hit at same time,STOP_LOSS,Stop Loss was hit first - LOSS,NEUTRAL
21,2025-08-22 00:00:00,SHORT,112424.0599,111343.2249,113617.3751,TIE,SL and TP hit at same time,STOP_LOSS,Stop Loss was hit first - LOSS,NEUTRAL
22,2025-08-22 01:00:00,SHORT,112541.2212,111488.1345,113706.9055,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
23,2025-08-22 02:00:00,SHORT,112747.4081,111687.4378,113920.1822,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
24,2025-08-22 03:00:00,SHORT,113060.8313,111972.6429,114262.1371,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
25,2025-08-22 04:00:00,SHORT,112834.4745,111746.3849,114035.4551,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
26,2025-08-22 05:00:00,SHORT,112742.6105,111656.5017,113941.5183,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
27,2025-08-22 06:00:00,SHORT,113134.3445,112066.4265,114315.4535,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
28,2025-08-22 07:00:00,SHORT,112898.5025,111831.8104,114078.1496,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
29,2025-08-22 08:00:00,SHORT,112986.2286,111953.8196,114131.6804,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
30,2025-08-22 09:00:00,SHORT,112887.8578,111878.7589,114009.9011,TIE,SL and TP hit at same time,TIE,SL and TP hit at same time,NEUTRAL
31,2025-08-23 15:00:00,SHORT,114524.5791,113590.7466,115572.9934,TIE,SL and TP hit at same time,STOP_LOSS,Stop Loss was hit first - LOSS,NEUTRAL
32,2025-08-23 16:00:00,SHORT,114712.615,113790.2697,115749.7303,TIE,SL and TP hit at same time,NEITHER,Neither SL nor TP was hit in the time period,NEUTRAL
33,2025-08-23 17:00:00,SHORT,114909.9063,113996.9661,115937.8139,TIE,SL and TP hit at same time,NEITHER,Neither SL nor TP was hit in the time period,NEUTRAL
34,2025-08-23 18:00:00,SHORT,114997.3726,114121.5007,115988.2993,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
35,2025-08-23 19:00:00,SHORT,115051.0857,114219.7706,115997.5094,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
36,2025-08-23 20:00:00,SHORT,115040.9408,114253.4785,115943.5015,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
37,2025-08-23 21:00:00,SHORT,115231.3455,114469.9421,116108.0379,TIE,SL and TP hit at same time,TAKE_PROFIT,Take Profit was hit first - WIN,NEUTRAL
