trade_idx,entry_time,backtest_entry_price,market_entry_price,backtest_exit_price,market_exit_price,backtest_pnl,actual_market_pnl,pnl_difference,verification_status,data_source
1,2025-08-20 00:00:00,112799.7619,113197.0,111676.9198,112995.67,0.9954,0.17785807044356453,-0.8175419295564355,VERIFIED,Historical File
2,2025-08-20 01:00:00,113140.4015,112995.67,112030.4877,113438.6,0.981,-0.39198847177065066,-1.3729884717706506,VERIFIED,Historical File
3,2025-08-20 02:00:00,112939.1722,113438.6,111791.7657,113521.93,1.016,-0.07345824084569731,-1.0894582408456974,VERIFIED,Historical File
4,2025-08-20 03:00:00,113381.8807,113521.93,112236.4303,113633.09,1.0103,-0.09791940640896742,-1.1082194064089674,VERIFIED,Historical File
5,2025-08-20 04:00:00,113465.169,113633.09,112358.3953,113714.48,0.9754,-0.07162526338058696,-1.047025263380587,VERIFIED,Historical File
6,2025-08-20 05:00:00,113576.2735,113714.48,112516.5435,113658.86,0.9331,0.04891197673330199,-0.8841880232666981,VERIFIED,Historical File
7,2025-08-20 06:00:00,113657.6228,113658.86,112633.594,113491.9,0.901,0.1468957193482377,-0.7541042806517624,VERIFIED,Historical File
8,2025-08-20 07:00:00,113602.0306,113491.9,112618.233,114000.26,0.866,-0.4479262396699682,-1.3139262396699682,VERIFIED,Historical File
9,2025-08-20 08:00:00,113435.154,114000.26,112466.1906,113682.56,0.8542,0.278683574932195,-0.575516425067805,VERIFIED,Historical File
10,2025-08-20 09:00:00,113943.2599,113682.56,112955.9827,113774.64,0.8665,-0.08099747225959879,-0.9474974722595988,VERIFIED,Historical File
11,2025-08-20 10:00:00,113625.7187,113774.64,112655.9868,113667.96,0.8534,0.09376430459370648,-0.7596356954062936,VERIFIED,Historical File
12,2025-08-21 15:00:00,113204.2596,112762.44,112090.6366,112354.93,0.9837,0.3613880650330104,-0.6223119349669897,VERIFIED,Historical File
13,2025-08-21 16:00:00,112706.0588,112354.93,111560.5333,112389.65,1.0164,-0.030902070785857966,-1.047302070785858,VERIFIED,Historical File
14,2025-08-21 17:00:00,112298.7525,112389.65,111144.5124,112571.11,1.0278,-0.16145614831971308,-1.189256148319713,VERIFIED,Historical File
15,2025-08-21 18:00:00,112333.4552,112571.11,111205.9836,112160.29,1.0037,0.3649426571346831,-0.6387573428653169,VERIFIED,Historical File
16,2025-08-21 19:00:00,112514.8244,112160.29,111402.9098,112412.16,0.9882,-0.22456254348130691,-1.212762543481307,VERIFIED,Historical File
17,2025-08-21 20:00:00,112104.2099,112412.16,110968.6698,112590.61,1.0129,-0.15874617123271811,-1.171646171232718,VERIFIED,Historical File
18,2025-08-21 21:00:00,112355.9539,112590.61,111191.107,112470.97,1.0367,0.10626108163016386,-0.930438918369836,VERIFIED,Historical File
19,2025-08-21 22:00:00,112534.3147,112470.97,111364.5593,112480.3,1.0395,-0.008295473934297665,-1.0477954739342978,VERIFIED,Historical File
20,2025-08-21 23:00:00,112414.7345,112480.3,111287.5829,112597.52,1.0027,-0.10421380455066458,-1.1069138045506646,VERIFIED,Historical File
21,2025-08-22 00:00:00,112424.0599,112597.52,111343.2249,112803.81,0.9614,-0.18321007425384997,-1.14461007425385,VERIFIED,Historical File
22,2025-08-22 01:00:00,112541.2212,112803.81,111488.1345,113117.39,0.9357,-0.2779870644440128,-1.2136870644440128,VERIFIED,Historical File
23,2025-08-22 02:00:00,112747.4081,113117.39,111687.4378,112890.92,0.9401,0.20020794327026215,-0.7398920567297379,VERIFIED,Historical File
