entry_hour,avg_pnl,median_pnl,pnl_std,trade_count,win_rate
0,0.954,0.9784,0.3568,6,1.0
1,0.9682,0.9584,0.3945,6,1.0
2,0.9627,0.978,0.3483,8,1.0
3,0.967,0.9625,0.3134,7,1.0
4,0.9425,0.9643,0.3042,7,1.0
5,0.9144,0.9331,0.29,7,1.0
6,0.961,0.9166,0.204,6,1.0
7,0.9589,0.9081,0.1819,7,1.0
8,0.9424,0.884,0.1807,8,1.0
9,0.9174,0.8665,0.1866,7,1.0
10,0.9187,0.8534,0.2147,5,1.0
11,0.9636,0.9938,0.2419,3,1.0
12,1.0,0.9611,0.1776,3,1.0
13,1.0622,1.0686,0.2,3,1.0
14,1.1466,1.2522,0.2147,3,1.0
15,0.9988,0.964,0.2856,6,1.0
16,0.957,0.9824,0.2767,8,1.0
17,0.9488,0.9766,0.2919,8,1.0
18,0.9322,0.961,0.2924,8,1.0
19,0.7181,0.9156,0.6666,7,1.0
20,0.9874,1.0129,0.3032,7,1.0
21,0.9755,0.9764,0.3555,6,1.0
22,0.9745,0.9579,0.3728,6,1.0
23,0.9155,0.9453,0.372,7,1.0
